Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,2.62,..,..,3.81,..,..,7.16,..,..,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,31.4488506317139,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,17.0178394317627,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.6,..,..,..,..,..
Afghanistan,AFG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,..,..,..,..,..,..,..,..,..,..,..,8.24541177115674,7.62597903791835,11.6381513220985,11.8674762151377,9.23269367587705,11.4370971722688,11.6989358595343,11.0836292401481,..,..
Afghanistan,AFG,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,..,..,..,..,..,..,..,..,..,..,49.9013229069412,4.6968178252385,4.95890140377645,4.85228704838131,7.7810908959605,12.0536179767696,11.0743789647307,12.2018301907814,8.88666018352578,..,..
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,3825701405.51958,4520946849.32079,5224896718.67782,6203256497.09044,6971758332.88917,9747886104.53251,10109296957.6569,12416152648.0573,15856668496.388,17805098367.2952,19907329905.9776,20146416876.3886,20497128600.3363,19134221744.5294,18116572399.1298,18753456506.5708,18053222734.8881,18799444414.5998,19955929060.841
Afghanistan,AFG,"Compulsory education, duration (years)",SE.COM.DURS,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9
Afghanistan,AFG,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,5.1,..,..,..,..,..,..,..,..,..
Albania,ALB,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,22.67,..,..,33.59,..,..,38.1,..,..,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,98.7129821777344,..,..,..,..,..,..,95.9386367797852,..,..,96.8452987670898,97.2469711303711,..,..,..,..,..,..,..,..
